driverRef,Matches,count
jabouille,Total race,55
jack_brabham,Total race,129
jarier,Total race,143
johansson,Total race,103
jones,Total race,117
keke_rosberg,Total race,128
kevin_magnussen,Total race,103
kling,Total race,12
kobayashi,Total race,76
kovalainen,Total race,112
kubica,Total race,97
kvyat,Total race,95
laffite,Total race,180
larini,Total race,75
lauda,Total race,174
leclerc,Total race,42
lehto,Total race,70
lewis-evans,Total race,14
love,Total race,10
maggs,Total race,27
maglioli,Total race,10
mairesse,Total race,12
maldonado,Total race,96
mansell,Total race,192
manzon,Total race,29
marimon,Total race,12
mario_andretti,Total race,129
mass,Total race,114
massa,Total race,271
max_verstappen,Total race,102
mcgrath,Total race,6
mclaren,Total race,103
menditeguy,Total race,12
michael_schumacher,Total race,308
modena,Total race,81
monteiro,Total race,37
montoya,Total race,95
morbidelli,Total race,70
moreno,Total race,74
moss,Total race,73
musso,Total race,26
nannini,Total race,77
nazaruk,Total race,3
nilsson,Total race,32
oliver,Total race,51
pace,Total race,73
panis,Total race,158
parkes,Total race,7
parsons,Total race,10
patrese,Total race,257
paul_russo,Total race,9
perdisa,Total race,9
perez,Total race,178
pescarolo,Total race,59
peterson,Total race,123
petrov,Total race,58
phil_hill,Total race,52
piquet,Total race,207
piquet_jr,Total race,28
pironi,Total race,72
portago,Total race,6
prost,Total race,202
pryce,Total race,42
raikkonen,Total race,315
ralf_schumacher,Total race,180
rathmann,Total race,12
redman,Total race,13
reg_parnell,Total race,7
regazzoni,Total race,138
reutemann,Total race,146
revson,Total race,31
ricciardo,Total race,171
rindt,Total race,62
rodriguez,Total race,54
rosa,Total race,107
rosberg,Total race,206
rose,Total race,2
rosier,Total race,39
ruttman,Total race,9
sainz,Total race,102
salo,Total race,111
salvadori,Total race,51
sato,Total race,91
scarfiotti,Total race,13
scheckter,Total race,113
schell,Total race,64
schenken,Total race,36
senna,Total race,162
serafini,Total race,1
siffert,Total race,100
spence,Total race,36
stewart,Total race,100
stommelen,Total race,61
streiff,Total race,54
stroll,Total race,62
stuck,Total race,81
surtees,Total race,112
suzuki,Total race,88
sweikert,Total race,5
tambay,Total race,122
taruffi,Total race,18
thomson,Total race,9
trevor_taylor,Total race,29
trintignant,Total race,87
trips,Total race,28
trulli,Total race,256
verstappen,Total race,107
vettel,Total race,241
villeneuve,Total race,165
villoresi,Total race,35
vukovich,Total race,5
wallard,Total race,2
ward,Total race,12
warwick,Total race,162
watson,Total race,154
webber,Total race,217
whitehead,Total race,12
wisell,Total race,23
wurz,Total race,69
